graph_id,algorithm,vertices,edges,total_cost,operations_count,execution_time_ms,mst_edge_count,mst_edges
1,Prim,5,5,10.0,20,0.0,3,1-2(2); 0-2(3); 1-3(5)
1,Kruskal,5,5,10.0,8,0.0,3,1-2(2); 0-2(3); 1-3(5)
2,Prim,5,6,18.0,24,0.0,4,1-2(2); 0-2(3); 1-3(5); 2-4(8)
2,Kruskal,5,6,18.0,10,0.0,4,1-2(2); 0-2(3); 1-3(5); 2-4(8)
3,Prim,5,5,12.0,18,0.0,4,0-1(1); 0-2(2); 2-3(4); 3-4(5)
3,Kruskal,5,5,12.0,9,0.0,4,0-1(1); 0-2(2); 2-3(4); 3-4(5)
4,Prim,5,4,18.0,16,0.0,4,0-1(6); 1-2(2); 2-3(3); 3-4(7)
4,Kruskal,5,4,18.0,8,0.0,4,1-2(2); 2-3(3); 0-1(6); 3-4(7)
5,Prim,5,6,21.0,24,0.0,4,1-2(2); 0-2(4); 1-3(6); 2-4(9)
5,Kruskal,5,6,21.0,10,0.0,4,1-2(2); 0-2(4); 1-3(6); 2-4(9)
6,Prim,10,9,54.0,36,0.0,9,0-1(2); 1-2(3); 2-3(4); 3-4(5); 4-5(6); 5-6(7); 6-7(8); 7-8(9); 8-9(10)
6,Kruskal,10,9,54.0,18,0.0,9,0-1(2); 1-2(3); 2-3(4); 3-4(5); 4-5(6); 5-6(7); 6-7(8); 7-8(9); 8-9(10)
7,Prim,10,9,45.0,36,0.0,9,0-1(1); 1-2(2); 2-3(3); 3-4(4); 4-5(5); 5-6(6); 6-7(7); 7-8(8); 8-9(9)
7,Kruskal,10,9,45.0,18,0.0,9,0-1(1); 1-2(2); 2-3(3); 3-4(4); 4-5(5); 5-6(6); 6-7(7); 7-8(8); 8-9(9)
8,Prim,10,9,81.0,36,0.0,9,0-1(5); 1-2(6); 2-3(7); 3-4(8); 4-5(9); 5-6(10); 6-7(11); 7-8(12); 8-9(13)
8,Kruskal,10,9,81.0,18,0.0,9,0-1(5); 1-2(6); 2-3(7); 3-4(8); 4-5(9); 5-6(10); 6-7(11); 7-8(12); 8-9(13)
