Algorithm,Vertices,Edges,Comparisons,Unions,Inserts,Deletes,OperationsCount,ExecutionTime(ms)
Prim,10,28,75,0,19,0,94,10,7373
Kruskal,10,28,28,9,0,0,37,2,3198
Prim,50,145,385,0,95,0,480,1,1110
Kruskal,50,145,145,49,0,0,194,1,0472
Prim,100,296,792,0,200,0,992,0,7240
Kruskal,100,296,296,99,0,0,395,0,6273
Prim,200,594,1596,0,408,0,2004,1,5256
Kruskal,200,594,594,199,0,0,793,1,3020
Prim,500,1497,3993,0,999,0,4992,1,8781
Kruskal,500,1497,1497,499,0,0,1996,9,3532

Prim Total,,,,,,,,15,9760
Kruskal Total,,,,,,,,14,6495
Prim Total Ops,,,,,,,8562,
Kruskal Total Ops,,,,,,,3415,
